DD/MM/YYYY_HH:MM:SS(EST),IgorTime(EST),NEE(umol/m2/s),GPP_IFP(umol/m2/s),Reco_IFP(umol/m2/s),GPP_Reichstein(umol/m2/s),Reco_Reichstein(umol/m2/s),NEE_Lasslop(umol/m2/s),GPP_Lasslop(umol/m2/s),Reco_Lasslop(umol/m2/s),LAI,PAR(uE/m2/s),VPD(Pa),airT(C),SoilT(C),SoilVolumetricWaterContent(%),WindDirection(degFromNorth),Ustar(m/s)
17/09/2011_01:15:12,3399066912,-3.55310674,9999,9999,7.315492189,3.762385448,1.201198768,0.001901797,1.203100565,4.42572645,0.0625,351.6152279,7.463107611,13.45946339,36.025,0.44902,0.1713092
17/09/2011_01:55:12,3399069312,2.620397741,9999,9999,1.128920787,3.749318528,1.176654249,0.006845284,1.183499533,4.425221495,0.225,330.7364855,7.143087488,13.36803897,36.025,353.667908,0.2495971
17/09/2011_02:35:12,3399071712,0.583085582,9999,9999,3.211326236,3.794411817,1.171120076,0.011787061,1.182907137,4.424716541,0.3875,323.9814676,7.13339343,13.2869544,36.025,356.635513,0.41892511
17/09/2011_03:15:12,3399074112,0.967643463,9999,9999,2.730332891,3.697976354,1.144255905,0.00874617,1.153002076,4.424211587,0.2875,274.6341636,6.64227694,13.16582552,36.02517326,348.353783,0.36581421
17/09/2011_03:55:12,3399076512,1.385313317,9999,9999,2.270190848,3.655504165,1.11492064,0.011787061,1.126707702,4.423706632,0.3875,251.0519072,6.207523513,13.09224003,36.05,349.684036,0.30943131
17/09/2011_04:35:12,3399078912,2.234772811,9999,9999,1.542978865,3.777751676,1.124007465,0.001901797,1.125909262,4.423201678,0.0625,267.0456774,6.194277508,13.02876793,36.05,352.925598,0.4803943
