DD/MM/YYYY_HH:MM:SS(EST),IgorTime(EST),NEE(umol/m2/s),GPP_IFP(umol/m2/s),Reco_IFP(umol/m2/s),GPP_Reichstein(umol/m2/s),Reco_Reichstein(umol/m2/s),NEE_Lasslop(umol/m2/s),GPP_Lasslop(umol/m2/s),Reco_Lasslop(umol/m2/s),LAI,PAR(uE/m2/s),VPD(Pa),airT(C),SoilT(C),SoilVolumetricWaterContent(%),WindDirection(degFromNorth),Ustar(m/s)
19/09/2011_00:35:12,3399237313,1.888488467,9999,9999,0.426849037,2.315337504,0.176021698,0,0.176021698,4.389874734,0,189.2463679,8.668971096,12.98417422,35.1,30.76,0.1960004
19/09/2011_01:55:12,3399242113,5.092246325,9999,9999,-2.757881655,2.33436467,0.161719026,0.006772743,0.168491769,4.388864825,0.3625,247.0184204,8.173293112,12.89686559,35.15,39.1712,0.1871521
19/09/2011_03:15:12,3399246912,-0.574649668,9999,9999,2.78170886,2.207059191,0.162604092,0.002102111,0.164706202,4.387854927,0.1125,238.0358815,7.919197226,12.79598091,35.17517361,41.1711,0.17000461
19/09/2011_03:55:12,3399249313,2.581706873,9999,9999,-0.456312656,2.125394217,0.162613001,0.000700726,0.163313727,4.387349973,0.0375,223.1489764,7.824869531,12.73963531,35.19149301,50.37511,0.31153509
19/09/2011_04:35:12,3399251712,1.328927826,9999,9999,0.745476211,2.074404036,0.151922428,0.007473251,0.159395679,4.386845029,0.4,222.7738325,7.556889936,12.68142444,35.19183969,41.032,0.2795296
19/09/2011_05:15:12,3399254112,4.36778925,9999,9999,-2.330720179,2.037069071,0.150259706,0.007006248,0.157265954,4.386340074,0.375,231.5884802,7.409592744,12.6272577,35.2,45.9669,0.226565
19/09/2011_09:55:12,3399270912,-16.55770312,25.45518356,8.897480439,19.69803512,3.140331993,-15.43368087,15.6247966,0.191115733,4.382805394,1295.9375,613.8310505,12.7800472,12.38906219,35.2,70.75909,0.46460649
19/09/2011_10:35:12,3399273312,-16.34877617,21.29794563,4.949169458,19.66028652,3.311510351,-15.98636471,16.19093374,0.204569027,4.38230044,1374,776.0442645,13.49050583,12.49958277,35.18315984,97.4966,0.46601251
19/09/2011_11:15:12,3399275712,-12.79726716,26.07366172,13.27639456,16.22665678,3.429389616,-16.39047594,16.60232698,0.211851035,4.381795485,1431.7375,825.1083146,13.96817093,12.71906238,35.12482645,98.3282,0.56320542
19/09/2011_11:55:12,3399278112,-13.5747367,31.40698999,17.83225329,17.14868561,3.573948906,-16.51731119,16.74364154,0.226330344,4.38129056,1445.6625,875.5095451,14.54198172,12.79309228,35.08298998,122.2485,0.38575199
19/09/2011_13:15:12,3399282912,-15.72917189,8.551245387,-7.1779265,19.54504424,3.81587235,-16.26414796,16.57807988,0.313931919,4.380280626,1315.2625,928.6408344,15.47510779,12.95298578,34.89982651,147.243,0.3622573
19/09/2011_13:55:12,3399285312,-12.78296248,31.22148635,18.43852387,16.62033066,3.837368179,-15.1551775,15.51579629,0.360618783,4.379775678,1181.9,958.9560473,15.55647807,13.05610052,34.85798708,154.3963,0.404892
19/09/2011_14:35:12,3399287712,-9.328202449,29.92925669,20.60105425,13.24064705,3.9124446,-13.47428491,13.90841143,0.434126522,4.379270719,1007.825,975.5599676,15.83879875,13.1616663,34.79131975,159.4002,0.39339101
19/09/2011_15:15:12,3399290113,-11.10449081,28.07157072,16.96707991,15.02738646,3.922895646,-11.07335075,11.81419392,0.740843164,4.378765761,770.3625,946.4384404,15.87787203,13.23668448,34.72465242,183.976852,0.29933339
19/09/2011_15:55:12,3399292513,-5.855154094,7.041230997,1.186076902,9.689261148,3.834107054,-5.802070342,6.522670154,0.720599813,4.378260802,378.9625,830.6180771,15.54414896,13.31831715,34.66649254,228.952,0.3125838
19/09/2011_16:35:12,3399294913,-3.186876641,4.492518692,1.305642051,6.900540209,3.713663568,-4.69490066,5.523211126,0.828310466,4.377755854,298.2125,739.7112009,15.08483948,13.3680383,34.61631915,253.47192,0.23579431
19/09/2011_21:55:12,3399314113,1.024596545,9999,9999,1.615819222,2.640415767,0.671325105,0.003913617,0.675238723,4.373716228,0.1875,153.6956618,10.49424605,13.11421002,34.58350697,196.36602,0.19366141
19/09/2011_22:35:12,3399316512,0.161676751,9999,9999,2.46223854,2.623915292,0.669192593,0.00182643,0.671019024,4.37321128,0.0875,172.9124895,10.41775989,13.05349009,34.6,202.108582,0.35572931
19/09/2011_23:15:12,3399318912,3.25511802,9999,9999,-0.613800101,2.641317919,0.675469432,0,0.675469432,4.372706321,0,186.9261611,10.49842004,12.99468752,34.6251736,191.333557,0.31884861
19/09/2011_23:55:12,3399321313,3.007076394,9999,9999,-0.26524618,2.741830214,0.695955617,0.005218022,0.701173639,4.372201362,0.25,127.1958619,10.95850158,12.94064201,34.65850727,200.74794,0.457477
