DD/MM/YYYY_HH:MM:SS(EST),IgorTime(EST),NEE(umol/m2/s),GPP_IFP(umol/m2/s),Reco_IFP(umol/m2/s),GPP_Reichstein(umol/m2/s),Reco_Reichstein(umol/m2/s),NEE_Lasslop(umol/m2/s),GPP_Lasslop(umol/m2/s),Reco_Lasslop(umol/m2/s),LAI,PAR(uE/m2/s),VPD(Pa),airT(C),SoilT(C),SoilVolumetricWaterContent(%),WindDirection(degFromNorth),Ustar(m/s)
18/09/2011_09:15:12,3399182112,-13.21743393,7.998173581,-5.219260353,17.59426425,4.376830313,-13.733023,15.65093498,1.917911977,4.401488678,1143.4875,591.749041,12.59714221,12.74650984,35.59965354,85.6187,0.64467388
18/09/2011_09:55:12,3399184513,-14.88849315,22.94747373,8.058980581,19.43548366,4.546990504,-14.70103176,16.42175093,1.720719164,4.400983718,1266.2,703.6333169,13.10278019,12.80374139,35.54149302,99.5789,0.73946488
18/09/2011_10:35:12,3399186913,-20.64916833,28.9394702,8.290301867,25.38740665,4.738238318,-15.02124131,16.29229005,1.271048744,4.400478759,1275.55,733.4340045,13.65886513,12.90902086,35.50815928,107.4695,0.85371327
18/09/2011_11:15:12,3399189313,-17.57472831,24.83798953,7.263261224,22.42585847,4.851130164,-15.878743,17.14144043,1.262697431,4.399973809,1393.9,755.7162757,13.98139876,13.1126564,35.42482622,95.79849,0.78085488
18/09/2011_11:55:12,3399191712,-16.00017875,8.813004875,-7.187173871,20.93128218,4.931103436,-16.51878412,17.80229774,1.283513621,4.399468867,1490.1375,771.8237418,14.20743218,13.15796714,35.38298731,95.0502,0.83032769
18/09/2011_12:35:12,3399194112,-20.01592282,35.66191939,15.64599657,25.02894058,5.01301776,-14.91668091,16.07373157,1.157050658,4.398963905,1260.9375,811.7119777,14.43691174,13.2892274,35.33315973,71.4921,0.87618637
18/09/2011_13:15:12,3399196512,-12.43720777,13.11190347,0.674695704,17.45756976,5.020361998,-12.22485126,13.56564137,1.340790114,4.398458951,951.425,813.1291653,14.45738745,13.40128472,35.27465279,100.7623,0.6897679
18/09/2011_13:55:12,3399198912,-14.97290432,7.853790962,-7.119113358,20.155549,5.182644681,-12.44685641,13.41295019,0.966093781,4.397953998,972.5,818.8000016,14.90579747,13.40795139,35.20798613,100.6501,0.70539743
18/09/2011_14:35:12,3399201312,-11.8012044,10.21812573,-1.583078669,16.976572,5.175367599,-11.53470433,12.30896974,0.774265407,4.397449044,877.025,841.1336469,14.88585213,13.42977429,35.14131947,99.8934,0.66497141
18/09/2011_15:15:12,3399203712,-7.317573021,18.86477151,11.54719849,12.43515039,5.11757737,-9.266100099,9.554966696,0.288866598,4.396944091,655.625,870.8769235,14.72692315,13.50168399,35.0998264,93.0575,0.5800069
18/09/2011_15:55:12,3399206112,-6.789541613,10.34008185,3.550540237,11.91690579,5.127364176,-8.334044115,8.602835075,0.26879096,4.396439137,575.9625,889.3736145,14.75390512,13.56800346,35.06649307,106.711,0.60862988
18/09/2011_16:35:12,3399208512,-4.568723965,11.40178966,6.833065699,9.567355553,4.998631588,-5.312078454,5.589011334,0.27693288,4.395934184,343.025,783.086694,14.39675636,13.56698786,35.01631948,106.88319,0.57007641
18/09/2011_17:55:12,3399213312,2.571356458,9999,9999,1.29463188,3.865988338,0.081886195,0.148052349,0.229938543,4.394924277,7.95,508.555,11.90711654,13.60719611,34.94149308,95.18761,0.27259839
18/09/2011_18:35:12,3399215712,3.717270828,9999,9999,-0.234650432,3.482620396,0.201644281,0.007006248,0.208650529,4.394419323,0.375,385.7370258,10.68634951,13.67686629,34.925,87.87511,0.21346851
18/09/2011_22:35:12,3399230112,1.175394605,9999,9999,1.308039962,2.483434568,0.176968487,0.003503405,0.180471892,4.391389602,0.1875,196.1095277,8.956131221,13.25407129,35,54.6429,0.1903432
18/09/2011_23:55:12,3399234912,-0.221225706,9999,9999,2.673619657,2.452393951,0.177872515,0.002102111,0.179974625,4.390379695,0.1125,177.9818545,8.924249189,13.06250878,35.0835069,41.1709,0.19567271
