time_UTC                OOA2_mean               OOA2_std                ppb     OOA2_median             OOA2_std                ppb
0.50000000000000        0.857738806666667	0.0597344857531538	90	0.889882500000000	0.0597344857531538	90
1.50000000000000	0.836858955555556	0.0542341144456729	90	0.917166500000000	0.0542341144456729	90
2.50000000000000	0.903434177777778	0.0687897277658755	90	0.883220500000000	0.0687897277658755	90
3.50000000000000	0.867992395348837	0.0693305099736381	86	0.814433000000000	0.0693305099736381	86
4.50000000000000	0.856153761904762	0.0651338332930367	84	0.708117000000000	0.0651338332930367	84
5.50000000000000	0.831940559523810	0.0625729368246309	84	0.653136000000000	0.0625729368246309	84
6.50000000000000	0.789980841463415	0.0561205390219053	84	0.625731000000000	0.0561205390219053	84
7.50000000000000	0.783222617647059	0.0628711239767472	84	0.615150500000000	0.0628711239767472	84
8.50000000000000	0.741017705970149	0.0609444559288400	84	0.445647000000000	0.0609444559288400	84
9.50000000000000	0.622222154545455	0.0487558656738656	84	0.482452000000000	0.0487558656738656	84
10.5000000000000	0.512176153658537	0.0377372129498585	90	0.449551500000000	0.0377372129498585	90
11.5000000000000	0.500279776666667	0.0359058406374779	90	0.422208000000000	0.0359058406374779	90
12.5000000000000	0.419480454679487	0.0394195548890582	90	0.355216000000000	0.0394195548890582	90
13.5000000000000	0.352570084556962	0.0333929955600750	90	0.345542000000000	0.0333929955600750	90
14.5000000000000	0.385357557767442	0.0357465546565475	90	0.347360000000000	0.0357465546565475	90
15.5000000000000	0.424513426400000	0.0391612692025108	90	0.365141500000000	0.0391612692025108	90
16.5000000000000	0.417752149122222	0.0392066164386360	90	0.326699000000000	0.0392066164386360	90
17.5000000000000	0.473231187333333	0.0446127235378565	90	0.385108500000000	0.0446127235378565	90
18.5000000000000	0.435355834555556	0.0396908562727518	90	0.370083000000000	0.0396908562727518	90
19.5000000000000	0.488367910666667	0.0402276306110406	90	0.386007500000000	0.0402276306110406	90
20.5000000000000	0.537750223022222	0.0481365619871567	90	0.313884500000000	0.0481365619871567	90
21.5000000000000	0.648130196111111	0.0492886688320531	90	0.436518000000000	0.0492886688320531	90
22.5000000000000	0.782096345555555	0.0573246115679342	90	0.573861500000000	0.0573246115679342	90
23.5000000000000	0.974184566666667	0.0916913705411141	90	0.837134000000000	0.0916913705411141	90
