STID = CHH           STNM =    74494   TIME = 110919/1200
 SLAT =  41.66     SLON =   -69.96   SELV =    16.0
    TTAA   1200
          PRES      TMPC      DWPC      DRCT      SPED      HGHT
        883.00      9.60     -7.40
        874.00      8.80     -3.20
        839.00      7.60     -4.40
        831.00      7.40     -9.60
        811.00      6.80     -5.20
        793.00      6.00     -6.00
        782.00      6.00    -11.00
        726.00      2.20    -15.80
        700.00      1.00    -22.00
        689.00      0.20    -12.80
        674.00     -0.50    -15.50
        669.00     -0.10    -16.10
        664.00      1.60    -21.40
        659.00      2.20    -21.80
        642.00      2.40    -22.60
        582.00     -2.70    -26.70
        545.00     -6.90    -29.90
        505.00    -10.10    -30.10
        457.00    -16.70    -34.70
        413.00    -21.30    -37.30
        391.00    -23.90    -28.90
        348.00    -29.10    -37.10
        237.00    -51.90    -58.90
        221.00    -55.30    -62.30
        204.00    -57.90    -64.90
        200.00    -56.70    -63.70
        195.00    -57.50    -64.50
        192.00    -56.90    -63.90
        187.00    -57.50    -64.50
        184.00    -56.50    -63.50
        181.00    -56.90    -63.90
        176.00    -55.70    -62.70
        168.00    -56.50    -63.50
        157.00    -55.70    -62.70
        144.00    -58.30    -65.30
        134.00    -61.90    -68.90
        132.00    -61.70    -68.70
        130.00    -60.50    -67.50
        126.00    -61.10    -68.10
        118.00    -60.10    -67.10
        109.00    -61.10    -68.10
    PPBB      0
          HGHT      DRCT      SPED
          0.00     40.00      1.03
        305.00     45.00      2.57
        610.00     45.00      3.09
        914.00     25.00      2.57
       1219.00    340.00      3.60
       1829.00     30.00      1.54
       2134.00     10.00      3.09
       2438.00    335.00      4.63
       2743.00    330.00      5.66
       3658.00    330.00      8.24
       4267.00    315.00     14.41
       4877.00    310.00     14.93
       5486.00    300.00     15.44
       6096.00    310.00     15.44
       7620.00    315.00     25.23
       9144.00    305.00     27.80
      11582.00    290.00     32.95
      12497.00    295.00     19.05
      12802.00    275.00     25.23
      13716.00    295.00     15.96
      14021.00    285.00     11.33
      14326.00    260.00     14.93
      14935.00    265.00     18.02
      15240.00    285.00     11.33
    TTCC      0
          PRES      TMPC      DWPC      DRCT      SPED      HGHT
         70.00    -59.50    -67.50    220.00      6.18  18730.00
         50.00    -57.30    -65.30     75.00      1.54  20850.00
         30.00    -53.50    -62.50     55.00      9.78  24100.00
         20.00    -50.30    -60.30     70.00     12.87  26720.00
    TTDD      0
          PRES      TMPC      DWPC
         95.60    -61.70    -68.70
         91.70    -59.70    -66.70
         84.10    -60.10    -67.10
         73.80    -62.90    -69.90
         71.00    -59.50    -67.50
         66.00    -60.90    -68.90
         64.30    -58.50    -66.50
         61.40    -57.70    -65.70
         58.70    -59.30    -67.30
         55.40    -55.90    -63.90
         51.20    -57.50    -65.50
         47.80    -55.50    -63.50
         41.40    -56.90    -64.90
         29.10    -52.90    -61.90
         22.20    -52.50    -61.50
         19.00    -49.10    -59.10
         16.30    -49.50    -60.50
         14.00    -47.10    -58.10
         11.60    -48.10    -60.10
         11.00    -46.50    -58.50
    PPDD      0
          HGHT      DRCT      SPED
      18288.00    285.00      5.15
      18593.00    255.00      2.06
      18898.00    245.00     10.81
      19507.00    260.00      0.51
      19812.00    280.00      5.15
      20117.00    305.00      7.21
      21336.00     65.00      2.06
      22250.00    230.00      0.51
      22555.00     25.00      7.21
      23165.00      0.00      0.00
      24079.00     65.00     11.84
      24384.00     90.00      6.69
      24689.00     65.00      3.60
      24994.00     70.00     10.30
      25298.00     80.00      6.69
      25603.00     30.00     13.90
      26213.00     35.00     14.93
      26518.00     80.00     14.41
      26822.00     75.00     15.96
      27127.00     95.00     10.81
      27432.00     85.00      9.27
      27737.00    100.00      6.18
      28042.00     85.00      4.63
      28346.00     45.00      9.78
      28956.00     90.00     13.38
      29261.00    100.00     10.81
      30480.00     85.00      9.27
