DD/MM/YYYY_HH:MM:SS,IgorTime,EddyFluxCO2,StorageFluxCO2,EddyIsofluxDel13CO2,StorageIsofluxDel13CO2,EddyIsofluxDel18CO2,StorageIsofluxDel18CO2,EddyFlux626,StorageFlux626,EddyFlux636,StorageFlux636,EddyFlux268,StorageFlux268
(EST),(EST),(umol/m2/s),(umol/m2/s),(permilVPDB*umol/m2/s),(permilVPDB*umol/m2/s),(permilVSMOW*umol/m2/s),(permilVSMOW*umol/m2/s),(umol/m2/s),(umol/m2/s),(umol/m2/s),(umol/m2/s),(umol/m2/s),(umol/m2/s)
18/09/2011_00:35:12,3399150912,0.49630084,0.32500511,-16.32342833,-42.359001,26.94419327,-13.16691,0.488002878,0.3204025,0.005276313,0.003115345,0.002063331,0.001233042
18/09/2011_01:15:12,3399153313,0.42555117,3.803576,-3.608142612,-114.7853,15.23961345,101.6684,0.418307141,3.7444561,0.004636897,0.04059884,0.001737656,0.01541817
18/09/2011_01:55:12,3399155712,2.134456738,0.57018352,-49.05163171,21.10741,78.2232357,3.9309809,2.098749054,0.56095231,0.022924226,0.006503998,0.008725282,0.002265197
18/09/2011_02:35:12,3399158112,0.341639131,4.4410791,-27.91577595,-82.218323,-2.642760551,180.0648,0.336217285,4.371223,0.003451947,0.04796385,0.001337999,0.018241029
18/09/2011_03:15:12,3399160513,2.87706288,-2.359246,-65.71714343,37.613049,120.7729074,-116.2233,2.829111342,-2.321981,0.030906225,-0.025545441,0.011822139,-0.009770861
18/09/2011_03:55:12,3399162913,4.985966313,-5.0053411,-90.91434336,57.244499,192.8447948,-225.6116,4.90228931,-4.926125,0.053806846,-0.05444245,0.020420552,-0.020646101
18/09/2011_04:35:12,3399165313,3.421018696,-3.9095681,-122.7739971,129.55299,148.7088483,-149.8461,3.365019616,-3.8487289,0.036270096,-0.04160412,0.014081675,-0.01602697
18/09/2011_05:15:12,3399167712,2.877779755,-0.58135933,-41.2066819,0.95476812,134.6392475,-62.419769,2.830535904,-0.57194328,0.03119143,-0.00638122,0.011882673,-0.002539579
18/09/2011_05:55:12,3399170112,0.514843339,-1.8189811,-40.30082005,37.479149,15.00466888,-111.0658,0.506847493,-1.790249,0.005223168,-0.01960217,0.002091917,-0.007618044
18/09/2011_06:35:12,3399172513,1.286044006,-0.1974972,-122.4725472,28.54616,20.6512541,71.97644,1.266450417,-0.1950067,0.012811485,-0.001865892,0.00516065,-0.000498047
