DD/MM/YYYY_HH:MM:SS,IgorTime,EddyFluxCO2,StorageFluxCO2,EddyIsofluxDel13CO2,StorageIsofluxDel13CO2,EddyIsofluxDel18CO2,StorageIsofluxDel18CO2,EddyFlux626,StorageFlux626,EddyFlux636,StorageFlux636,EddyFlux268,StorageFlux268
18/09/2011_07:15:12,3399174913,-3.615964739,-1.396629,24.49113368,-11.80745,-66.54446136,-102.0716,-3.556886804,-1.374055,-0.039495586,-0.01549142,-0.014527064,-0.0059133
18/09/2011_07:55:12,3399177313,-7.254660975,-1.101826,213.7003167,104.9678,-180.4343771,64.499962,-7.137725374,-1.085886,-0.077447549,-0.0109849,-0.029337208,-0.004100468
18/09/2011_08:35:12,3399179712,-11.44017058,-4.0440931,509.2904135,99.643578,-4.961006807,-169.6385,-11.25622888,-3.980726,-0.12024173,-0.043407131,-0.045162545,-0.01663404
18/09/2011_09:15:12,3399182112,-9.234570041,-3.9822741,344.4474865,86.399269,69.90332441,-183.4158,-9.088399087,-3.919677,-0.097817321,-0.042870011,-0.036173126,-0.016443379
18/09/2011_09:55:12,3399184513,-14.89886385,0.01102539,365.1779451,-54.82304,-193.7388188,-31.32992,-14.66189841,0.01158319,-0.159898776,-0.000473524,-0.05956514,-7.71E-05
18/09/2011_10:35:12,3399186913,-20.43060083,-0.21750329,321.219525,40.852032,-153.2800367,10.58735,-20.10511313,-0.21456639,-0.221235609,-0.001949264,-0.081235049,-0.000818798
18/09/2011_11:15:12,3399189313,-17.88173703,0.30581611,384.4738312,-14.54672,-126.1202481,8.7852936,-17.59664045,0.30111811,-0.192496126,0.003206213,-0.071067921,0.001242208
18/09/2011_11:55:12,3399191712,-16.1990565,0.1996492,499.4433852,76.462822,-207.3014135,107.9024,-15.94255217,0.1952057,-0.172739344,0.003023825,-0.06475487,0.001208611
18/09/2011_12:35:12,3399194112,-20.55791046,0.54295927,335.2950192,-92.835541,-236.4500247,-58.824692,-20.22916915,0.53566819,-0.222467957,0.004967142,-0.082060627,0.001916296
18/09/2011_13:15:12,3399196512,-12.40634071,-0.030442029,336.3485005,5.907618,82.77762109,46.022362,-12.21011493,-0.03022512,-0.132805724,-0.000272967,-0.048641657,6.04E-05
18/09/2011_13:55:12,3399198912,-14.92562425,-0.045262959,483.8092585,-3.3047149,-81.07553923,18.570869,-14.68672519,-0.044593818,-0.158872603,-0.000534983,-0.059220406,-0.00010559
18/09/2011_14:35:12,3399201312,-11.00441944,-0.79606938,305.2478133,25.30007,232.761988,-41.793411,-10.83001502,-0.78362131,-0.117719029,-0.008482372,-0.042515294,-0.003307573
18/09/2011_15:15:12,3399203712,-7.50530101,0.1055439,128.2918524,-20.91184,143.2957075,22.94714,-7.387921782,0.1040093,-0.081183193,0.000932883,-0.029063463,0.000507711
18/09/2011_15:55:12,3399206112,-7.16164601,0.39973861,180.0783151,-4.3887949,45.20023173,-28.82444,-7.048929545,0.39361319,-0.076823933,0.004351513,-0.028091118,0.001464557
18/09/2011_16:35:12,3399208512,-4.19438999,-0.37197271,56.30571823,9.6154022,134.3020541,52.289181,-4.128113,-0.36644259,-0.045531637,-0.003990611,-0.016025731,-0.001263047
18/09/2011_17:15:12,3399210912,-1.974768892,0.43492329,94.69463626,-2.30252,245.2567306,27.00094,-1.944499837,0.42797881,-0.020697515,0.004759612,-0.006831202,0.001822953
18/09/2011_17:55:12,3399213312,0.420635226,2.1511769,20.93109114,-52.67474,147.1334874,146.5891,0.41283633,2.117223,0.004845581,0.023090459,0.00223579,0.009069615
18/09/2011_18:35:12,3399215712,1.298042715,2.420258,-61.06626801,-54.306,119.9967041,107.8773,1.276612947,2.3822501,0.013600834,0.026035231,0.005592963,0.009979618
18/09/2011_19:15:12,3399218112,1.025970302,1.074182,-9.298723561,-3.9359009,132.6984215,91.448517,1.008517765,1.056905,0.011172733,0.01177274,0.004567818,0.004599469
18/09/2011_19:55:12,3399220512,1.220429347,2.4330039,-17.89169357,-93.683594,97.250711,39.04903,1.200006717,2.39552,0.013219036,0.02574984,0.005196015,0.009761225
18/09/2011_20:35:12,3399222912,0.65249308,0.94809729,-10.37107076,-6.42732,49.33092027,13.37208,0.641660689,0.93317151,0.007059549,0.01036103,0.002767875,0.003795514
18/09/2011_21:15:12,3399225312,1.982858544,-0.60093451,2.866910078,75.847397,133.3353404,-13.51322,1.949200246,-0.59223402,0.021823027,-0.005785141,0.008342773,-0.002428827
18/09/2011_21:55:12,3399227712,1.786910807,-0.03043,12.82023934,-28.840811,173.4847707,-28.46909,1.756199503,-0.02951372,0.019774766,-0.000647584,0.007727019,-0.000230548
18/09/2011_22:35:12,3399230112,1.22021134,-0.04491239,-122.2510448,-37.035309,9.066321104,-28.478939,1.201017461,-0.043677639,0.012083211,-0.000897079,0.004852521,-0.000287473
18/09/2011_23:15:12,3399232512,0.62272414,0.2255269,-8.777146616,-31.47521,18.21977373,-85.239517,0.612250852,0.2226826,0.00674831,0.002144368,0.002527213,0.000556612
18/09/2011_23:55:12,3399234912,0.717336752,-0.93816829,-1.237848139,44.03566,37.88956508,-53.771561,0.705085212,-0.92363381,0.007869047,-0.00984104,0.002977037,-0.003916447
