datetime,igor.time,co2,del13c,del18o,sensible.heat.flux,water.vapor.flux,par,airt,airp,rh,dry.air,wet.air,wind.speed,wind.dir,ustar
2011-09-16T00:35:12,3398978113,391.17581,-8.2841024,36.979401,-52.48486344,-8.35E-05,0.1125,6.134550292,98553.6513,91.6,42.07198606,42.44153983,1.4107029,328.77599,0.34192261
2011-09-16T01:15:12,3398980512,391.9035,-8.2630224,37.382839,-58.79870947,-7.04E-05,0.3375,5.923036534,98620.71792,91.6,42.13613325,42.50261066,1.2668231,317.69455,0.31033769
2011-09-16T01:55:12,3398982912,391.3905,-8.2539606,36.992451,-24.6930726,-3.40E-05,0.225,5.844536993,98620.62437,91.93584119,42.14793903,42.51452911,1.258347,338.474983,0.231299
2011-09-16T02:35:12,3398985313,392.3284,-8.2695484,36.969151,-64.17388365,-9.47E-05,0.2625,5.575353868,98620.29394,92.28800773,42.19657709,42.55544556,1.231642,321.304119,0.35868019
2011-09-16T03:15:12,3398987712,392.47479,-8.1395636,36.93235,-48.25825458,-0.000123926,0.2625,5.354919653,98720.99959,91.41996233,42.27762532,42.63261751,1.2727799,334.954117,0.3953087
2011-09-16T03:55:12,3398990112,391.44131,-8.1642237,37.18121,-109.452249,-0.000237642,0.3125,5.271205306,98720.88943,90.88970434,42.29874253,42.6453885,1.630581,329.816669,0.47039321
2011-09-16T04:35:12,3398992513,391.07321,-8.2234697,37.04549,-59.38882856,-0.000129918,0.325,5.033966401,98821.58236,90.81686254,42.387801,42.7252914,1.802279,341.022713,0.3497633
2011-09-16T05:15:12,3398994913,392.6601,-8.2967672,36.82761,-37.27303682,-0.000105503,1.4,4.585839039,98821.04081,92.48217744,42.46024024,42.79399423,1.238382,335.803139,0.29095
2011-09-16T05:55:12,3398997312,392.90421,-8.2490721,36.8965,-49.49251338,5.92E-05,91.5,4.5521793,98888.32325,92.1759909,42.49653007,42.82832109,1.689777,317.99099,0.48857111
2011-09-16T06:35:12,3398999712,389.74649,-8.1502085,36.974911,-21.78483898,0.000435113,296.875,5.107051358,98956.31806,90.29600955,42.45216652,42.77230687,2.9245651,341.140602,0.71069509
2011-09-16T07:15:12,3399002113,386.33069,-8.0322514,37.058189,29.63039441,0.001414802,532.45,5.847747124,99024.51667,85.69964471,42.37130425,42.68815254,2.955323,342.241783,0.73864591
2011-09-16T07:55:12,3399004512,384.09189,-7.8852878,37.255741,115.9050916,0.002616303,776.3375,6.851298925,99025.69433,80.34773446,42.22077175,42.53565992,3.1109231,340.497658,0.87712651
2011-09-16T08:35:12,3399006912,382.08249,-7.8642468,37.142979,145.4859406,0.003299103,1003.275,7.978296992,99161.65405,74.20610901,42.11512052,42.42330755,3.048995,335.213577,0.83162951
2011-09-16T09:15:12,3399009313,380.3912,-7.8141661,37.35672,190.2136921,0.005214109,1151.0375,9.155100642,99230.30111,65.72562002,41.97464388,42.2757099,2.9677401,330.33086,0.98664308
2011-09-16T09:55:12,3399011713,379.6637,-7.6907382,37.456188,211.7219545,0.004279243,1320.8125,9.876192023,99231.07293,59.0248631,41.87380614,42.16832825,3.439297,323.091469,1.036502
