DD/MM/YYYY_HH:MM:SS,IgorTime,EddyFluxCO2,StorageFluxCO2,EddyIsofluxDel13CO2,StorageIsofluxDel13CO2,EddyIsofluxDel18CO2,StorageIsofluxDel18CO2,EddyFlux626,StorageFlux626,EddyFlux636,StorageFlux636,EddyFlux268,StorageFlux268
19/09/2011_15:15:12,3399290113,-10.6765711,-0.42646721,65.15544881,-20.320829,167.1656278,38.888859,-10.50607105,-0.4196946,-0.116737851,-0.004915401,-0.041474367,-0.001529622
19/09/2011_15:55:12,3399292513,-4.860359099,-1.091186,111.7069775,59.859669,82.35015627,73.975311,-4.781383173,-1.074963,-0.052226209,-0.0113595,-0.018850815,-0.004019331
19/09/2011_16:35:12,3399294913,-4.508172563,1.230257,141.7335087,65.295113,24.71173814,104.6135,-4.436237585,1.209713,-0.048037096,0.01423998,-0.017693935,0.005264058
19/09/2011_17:15:12,3399297312,0.04079428,0.1215789,0.603262892,-18.572571,17.78915685,196.9684,0.039990738,0.1190124,0.000453715,0.001129234,0.000230439,0.001254851
19/09/2011_17:55:12,3399299713,0.684654747,2.878691,-29.48848569,-123.4735,65.80777287,231.0954,0.672565085,2.8336799,0.007195265,0.030321229,0.002956488,0.01227651
19/09/2011_18:35:12,3399302113,-0.380210005,2.476881,26.01769029,-40.31216,-20.73896857,-70.42733,-0.373555099,2.438597,-0.003890611,0.02681889,-0.001579809,0.009502006
19/09/2011_19:15:12,3399304513,0.333478621,0.84253907,-0.409548051,-31.443371,40.72573848,-95.60376,0.327334973,0.83001822,0.003655022,0.008933752,0.001473108,0.002951277
19/09/2011_19:55:12,3399306912,0.236144379,0.62518263,-0.822410277,-12.66891,8.614452768,-15.33821,0.231928722,0.61553609,0.002583864,0.006741908,0.000964057,0.00240815
19/09/2011_20:35:12,3399309313,0.179716391,0.2299803,6.542696712,-12.2158,26.68516333,-25.00181,0.176354422,0.22659729,0.002043452,0.002399044,0.000812342,0.000810081
19/09/2011_21:15:12,3399311713,0.412317239,0.9277823,48.05421059,-29.132389,55.66151531,-51.504311,0.404283535,0.91370338,0.005047545,0.009894044,0.001840491,0.00346116
19/09/2011_21:55:12,3399314113,1.105602989,-0.08223293,-35.55389983,10.0831,62.35036718,4.221355,1.086057358,-0.08106526,0.011751394,-0.000795189,0.004601139,-0.000308519
19/09/2011_22:35:12,3399316512,1.928685417,-1.766475,-51.07491082,32.88023,16.30059614,-157.77859,1.895510727,-1.738319,0.020630197,-0.01907205,0.007666083,-0.00759406
19/09/2011_23:15:12,3399318912,2.272168466,0.98309088,-63.73473915,-10.71078,135.7513106,3.8837349,2.23245966,0.96770108,0.024258211,0.01070047,0.009487934,0.003896193
19/09/2011_23:55:12,3399321313,0.522005234,2.4849219,24.79063099,-58.81245,-9.418056503,51.782761,0.512427912,2.4461861,0.006000975,0.02670056,0.002017922,0.01001459
