month	day	hour	minute	Doy (LT)	82Fac	OOA1	OOA2	91Fac
6	24	23	10	176.9652777778	0.329871	1.57968	0.0513422	0.209298
6	24	23	20	176.9722222222	0.329362	1.59393	0.152249	0.144224
6	24	23	30	176.9791666667	0.423075	1.69682	0.0691576	0.175356
6	24	23	40	176.9861111111	0.399522	1.60861	0.135712	0.145293
6	24	23	50	176.9930555556	0.361622	1.73549	0.0543699	0.148702
6	25	0	0	177	0.306829	1.68169	0.0753334	0.176268
6	25	0	10	177.0069444444	0.341937	1.42543	0.123071	0.0910265
6	25	0	20	177.0138888889	0.379974	1.50194	9.73E-08	0.337265
6	25	0	30	177.0208333333	0.329451	1.67324	0.117196	0.286197
6	25	0	40	177.0277777778	0.396145	1.31611	0.164022	0.193213
6	25	0	50	177.0347222222	0.456636	1.23774	0.1945	0.255332
6	25	1	0	177.0416666667	0.42219	1.34693	0.183347	0.204415
6	25	1	10	177.0486111111	0.450989	1.30237	0.118548	0.285306
6	25	1	20	177.0555555556	0.411518	1.08206	0.174291	0.216459
6	25	1	30	177.0625	0.389774	1.33938	0.126874	0.226258
6	25	1	40	177.0694444444	0.447959	1.2183	0.186698	0.197546
6	25	1	50	177.0763888889	0.554102	0.995083	0.140602	0.768564
6	25	2	0	177.0833333333	0.659766	0.787743	0.0625924	0.857631
6	25	2	10	177.0902777778	0.572702	0.951031	0.174262	0.339663
6	25	2	20	177.0972222222	0.409015	1.13051	0.136497	0.138054
6	25	2	30	177.1041666667	0.310942	1.00543	0.0931318	0.200128
6	25	2	40	177.1111111111	0.38312	1.09049	0.0746478	0.132544
6	25	2	50	177.1180555556	0.419007	1.05895	0.085071	0.26162
6	25	3	0	177.125	0.394083	0.926814	0.140858	0.2365
6	25	3	10	177.1319444444	0.328082	0.966796	0.117151	0.245219
6	25	3	20	177.1388888889	0.366496	0.986129	0.165179	0.232215
6	25	3	30	177.1458333333	0.359286	0.8228	0.110478	0.179118
6	25	3	40	177.1527777778	0.313523	0.913388	0.120914	0.121575
6	25	3	50	177.1597222222	0.294622	1.03833	0.0643876	0.18047
6	25	4	0	177.1666666667	0.218568	0.994777	0.0357074	0.0971361
6	25	4	10	177.1736111111	0.23635	0.856117	0.0759877	0.0393041
6	25	4	20	177.1805555556	0.209014	0.838475	0.0958664	0.0745103
6	25	4	30	177.1875	0.226424	0.803246	0.0486519	0.0199017
6	25	4	40	177.1944444444	0.215195	0.830916	1.08E-07	0.0506291
6	25	4	50	177.2013888889	0.182623	0.834968	0.0651962	0.0821244
6	25	5	0	177.2083333333	0.26927	0.767915	0.0142544	0.0575374
6	25	5	10	177.2152777778	0.16124	1.0044	0.0405062	0.117576
6	25	5	20	177.2222222222	0.199042	0.911708	0.0285271	0.0702707
6	25	5	30	177.2291666667	0.224226	0.780615	0.00859881	0.0327541
6	25	5	40	177.2361111111	0.20698	0.841993	0.0668366	5.51E-08
6	25	5	50	177.2430555556	0.207779	0.907824	3.57E-08	0.0212887
6	25	6	0	177.25	0.213536	0.850274	0.0400752	0.0175424
6	25	6	10	177.2569444444	0.166253	0.791546	0.0564068	0.0327789
6	25	6	20	177.2638888889	0.171187	0.898481	7.18E-08	0.0179838
6	25	6	30	177.2708333333	0.172466	0.856049	0.00585477	0.0321148
6	25	6	40	177.2777777778	0.218403	0.840657	3.83E-08	0.0127058
6	25	6	50	177.2847222222	0.161413	0.933478	2.22E-07	2.93E-08
6	25	7	0	177.2916666667	0.147351	0.940439	5.66E-08	4.19E-07
6	25	7	10	177.2986111111	0.179462	0.959609	0.030263	0.00957838
6	25	7	20	177.3055555556	0.188391	0.985264	1.63E-07	4.71E-08
6	25	7	30	177.3125	0.225236	0.912307	0.0671195	4.75E-08
6	25	7	40	177.3194444444	0.229282	0.985958	0.0200885	9.24E-08
6	25	7	50	177.3263888889	0.204376	1.03072	0.000328304	0.0284959
6	25	8	0	177.3333333333	0.232817	0.84156	0.0709971	0.0401973
6	25	8	10	177.3402777778	0.195636	0.920073	0.114028	0.0290327
6	25	8	20	177.3472222222	0.218851	0.895152	0.0723234	0.0155772
6	25	8	30	177.3541666667	0.145247	1.04205	0.0648404	0.0893904
6	25	10	15	177.4270833333	0.339745	1.35263	0.0492759	0.0289078
6	25	10	25	177.4340277778	0.310228	1.2672	0.125906	0.0415685
6	25	10	35	177.4409722222	0.189119	1.23119	0.180463	0.312629
6	25	10	55	177.4548611111	0.511357	1.3201	0.115516	0.015873
6	25	11	5	177.4618055556	0.564944	1.20181	0.131925	0.0242899
6	25	11	15	177.46875	0.660334	1.15196	0.157778	0.011589
6	25	11	25	177.4756944444	0.639459	1.25011	0.0799943	0.0375023
6	25	11	35	177.4826388889	0.600627	1.06844	0.129309	0.0341858
6	25	11	45	177.4895833333	0.566791	1.19561	0.142872	0.0169143
6	25	11	55	177.4965277778	0.523434	1.19039	0.0622941	0.0648325
6	25	12	5	177.5034722222	0.596111	1.29525	0.104917	0.0177479
6	25	12	15	177.5104166667	0.545683	1.29199	0.108689	0.0239191
6	25	12	25	177.5173611111	0.622092	1.34229	0.0981703	1.95E-07
6	25	12	35	177.5243055556	0.592352	1.28839	0.128923	0.0617219
6	25	12	45	177.53125	0.144854	1.15569	0.0465881	0.059892
6	25	12	55	177.5381944444	0.270734	1.40634	0.0679553	0.086134
6	25	13	5	177.5451388889	0.384283	1.2306	0.0747973	0.0924768
6	25	16	0	177.6666666667	0.426694	1.242	0.2372	0.182791
6	25	16	10	177.6736111111	0.418046	1.35094	0.0582547	0.147225
6	25	16	20	177.6805555556	0.4356	1.19597	0.099441	0.175953
6	25	16	30	177.6875	0.353399	1.15958	0.144649	0.206622
6	25	16	40	177.6944444444	0.461707	1.14771	0.112315	0.136366
6	25	16	50	177.7013888889	0.452473	1.1861	0.0900616	0.104437
6	25	17	0	177.7083333333	0.383267	1.15459	0.13593	0.14494
6	25	17	10	177.7152777778	0.463762	1.08843	0.130056	0.156802
6	25	17	20	177.7222222222	0.502671	1.04563	0.0922306	0.155144
6	25	17	30	177.7291666667	0.49458	1.07671	0.136263	0.10956
6	25	17	40	177.7361111111	0.543347	0.990385	0.0745801	0.15877
6	25	17	50	177.7430555556	0.472081	1.04542	0.100437	0.119464
6	25	18	0	177.75	0.466769	0.952425	0.12812	0.12651
6	25	18	10	177.7569444444	0.450277	1.09858	0.0953095	0.125799
6	25	18	20	177.7638888889	0.39718	0.947981	0.137196	0.105358
6	25	18	30	177.7708333333	0.420773	1.05142	0.0928024	0.110758
6	25	18	40	177.7777777778	0.379203	0.982138	0.105584	0.117992
6	25	18	50	177.7847222222	0.393838	0.894076	0.0908242	0.135219
6	25	19	0	177.7916666667	0.31816	1.14078	0.060803	0.1152
6	25	19	10	177.7986111111	0.368658	1.29499	0.0369926	0.300323
6	25	19	20	177.8055555556	0.328044	1.27697	0.0366039	0.207765
6	25	19	30	177.8125	0.3485	1.31304	0.0896554	0.129178
6	25	19	40	177.8194444444	0.357024	1.27097	0.022709	0.209192
6	25	19	50	177.8263888889	0.356924	0.878217	0.132177	0.096489
6	25	20	0	177.8333333333	0.360492	1.03336	0.0602086	0.114834
6	25	20	10	177.8402777778	0.385176	0.923045	0.107153	0.139375
6	25	20	20	177.8472222222	0.223284	0.940434	0.0791026	0.135165
6	25	20	30	177.8541666667	0.289946	0.998931	2.58E-08	0.10044
6	25	20	40	177.8611111111	0.38609	0.830092	0.126583	0.0971238
6	25	20	50	177.8680555556	0.3146	1.13513	0.0178893	0.15539
6	25	21	0	177.875	0.335591	1.30441	1.67E-07	0.216833
6	25	21	10	177.8819444444	0.352265	1.57984	0.0439956	0.243285
6	25	21	20	177.8888888889	0.680171	1.05417	0.0251056	0.0828513
6	25	21	30	177.8958333333	0.50998	1.37047	0.0406014	0.143271
6	25	21	40	177.9027777778	0.652578	1.04846	5.18E-07	0.136935
6	25	21	50	177.9097222222	0.728708	0.89495	0.0658232	0.0899439
6	25	22	0	177.9166666667	0.77632	0.873959	0.0087826	0.0259808
6	25	22	10	177.9236111111	0.803604	0.760098	3.62E-07	0.0453753
6	25	22	20	177.9305555556	0.766047	0.745633	0.0285847	0.0202155
6	25	22	30	177.9375	0.4295	1.15659	0.101507	0.483377
6	25	22	40	177.9444444444	0.541903	1.0339	0.0904193	0.186358
6	25	22	50	177.9513888889	0.539861	1.06469	0.132742	0.154219
