year,month,seq.from.1990.days,doy,wind.sp,wind.dir,eddy.t,eddy.q,o3.mlb,no.y,s.no.y,co,s.co,f.co2,f.mom,f.heat,f.h2o,f.o3,f.no.y,r.net,par.12.7,par.29,rh.27.9m,rh.22.6m,rh.15.4m,rh.7.6m,rh.2.5m,ta.27.9m,ta.22.6m,ta.15.4m,ta.7.6m,ta.2.5m,ts.srfm,ts.50m,ts.20m,co2,co2.stg,p.amb,ts.srf.adj,par.tot.ue.m2.s,par.dfs.ue.m2.s
2011,9,7931,261,0.6,44,10.3,9.6,0.0,0.0,0.0,0.0,0.0,0.6,7.5,-1,-0.03735,0.0,0.0,24,0.0,15.25119569,83.5,83.1,85.6,0.0,91.4,8.7,0.0,0.0,0.0,0.0,11.7,0.0,0.0,394.075,0.0,100025,0.0,0.0,0.0
2011,9,7931.0417,261.0417,0.4,49.2,8.6,9.5,0.0,0.0,0.0,0.0,0.0,-0.4,8.7,0.4,-0.03127,0.0,0.0,23,0.0,14.62443422,85.5,83.9,86.9,0.0,92,8,0.0,0.0,0.0,0.0,11.2,0.0,0.0,395.5,0.0,100018,0.0,0.0,0.0
2011,9,7931.0833,261.0833,0.7,48.2,8.6,10,0.0,0.0,0.0,0.0,0.0,-0.7,2.8,0.2,-0.0127,0.0,0.0,26,0.0,15.87795716,92.2,85,87.9,0.0,92.8,8,0.0,0.0,0.0,0.0,10.8,0.0,0.0,403.4,0.0,100014,0.0,0.0,0.0
2011,9,7931.125,261.125,0.9,27,9.2,9.7,0.0,0.0,0.0,0.0,0.0,6,-115.8,-12.3,-0.02253,0.0,0.0,16,0.0,15.66903667,90,88.4,88.9,0.0,93.2,7.8,0.0,0.0,0.0,0.0,10.8,0.0,0.0,418.05,-2.8,100008,0.0,0.0,0.0
2011,9,7931.1667,261.1667,1.9,29,9.7,9.2,0.0,0.0,0.0,0.0,0.0,5.3,-576.1,-31.6,0.1116,0.0,0.0,4,0.0,15.14673545,82.6,86.4,81.3,0.0,93.5,7.5,0.0,0.0,0.0,0.0,11.1,0.0,0.0,403.7,-5.6,100033,0.0,0.0,0.0
2011,9,7931.2083,261.2083,1.7,28,10.1,8.1,0.0,0.0,0.0,0.0,0.0,1.7,-415.3,-18.3,0.1455,0.0,0.0,17,0.0,19.42960547,72,76.5,72,0.0,91.7,7.5,0.0,0.0,0.0,0.0,11.2,0.0,0.0,398.1,0.1,100056,0.0,0.0,0.0
2011,9,7931.25,261.25,1.6,36,10.1,8.1,0.0,0.0,0.0,0.0,0.0,0.9,-295.4,-12.4,0.1695,0.0,0.0,42,0.0,88.05998608,71.4,73.1,71.9,0.0,90.3,8.2,0.0,0.0,0.0,0.0,11.3,0.0,0.0,393.3,-1.3,100096,0.0,0.0,0.0
2011,9,7931.2917,261.2917,1.5,54,10.5,9,0.0,0.0,0.0,0.0,0.0,-5,-1066.6,17.3,0.6775,0.0,0.0,149,0.0,414.6027102,76.7,74.3,70,0.0,85.8,11.6,0.0,0.0,0.0,0.0,11,0.0,0.0,393.775,-0.4,100115,0.0,0.0,0.0
2011,9,7931.3333,261.3333,1.9,54,12.3,9,0.0,0.0,0.0,0.0,0.0,-13.1,-3688.1,109.1,2.837,0.0,0.0,368,0.0,949.3347016,67.8,62.7,61,0.0,74.3,13.3,0.0,0.0,0.0,0.0,10.7,0.0,0.0,394.3,-3.6,100143,0.0,0.0,0.0
2011,9,7931.375,261.375,2.7,86,13.7,8.4,0.0,0.0,0.0,0.0,0.0,-16.2,-4989.7,151.1,3.852,0.0,0.0,513,0.0,1267.833987,57.2,52,51.7,0.0,62,14.4,0.0,0.0,0.0,0.0,11,0.0,0.0,391.65,-2.4,100140,0.0,0.0,0.0
2011,9,7931.4167,261.4167,2.8,94,14.3,8.2,0.0,0.0,0.0,0.0,0.0,0.0,-7093.9,227.8,0.0,0.0,0.0,538,0.0,1328.525389,52.6,47.9,47.7,0.0,56.7,14.9,0.0,0.0,0.0,0.0,10.8,0.0,0.0,381.025,-0.3,100103,0.0,0.0,0.0
2011,9,7931.4583,261.4583,2.7,93,14.9,8.4,0.0,0.0,0.0,0.0,0.0,0.0,-5854.2,184.4,0.0,0.0,0.0,632,0.0,1543.713493,51.9,47.4,46.7,0.0,55.5,15.6,0.0,0.0,0.0,0.0,10.7,0.0,0.0,378.425,0.1,100044,0.0,0.0,0.0
2011,9,7931.5,261.5,3,59,15.2,8.4,0.0,0.0,0.0,0.0,0.0,-19.1,-5666.3,154.8,3.535,0.0,0.0,546,0.0,1360.281303,50.3,45.7,45.6,0.0,53.2,15.8,0.0,0.0,0.0,0.0,11.2,0.0,0.0,378.9,0.6,99983,0.0,0.0,0.0
2011,9,7931.5417,261.5417,2.6,90,15.5,8.5,0.0,0.0,0.0,0.0,0.0,-16.9,-5047.5,109.3,3.189,0.0,0.0,409,0.0,1033.111818,50,46.5,45.6,0.0,55.4,16,0.0,0.0,0.0,0.0,11.1,0.0,0.0,381,-0.9,99916,0.0,0.0,0.0
2011,9,7931.5833,261.5833,2.7,93,15.9,8.6,0.0,0.0,0.0,0.0,0.0,-16.2,-4412.9,92.7,3.565,0.0,0.0,372,0.0,946.3053545,49.3,45,45,0.0,55.6,16.1,0.0,0.0,0.0,0.0,11,0.0,0.0,379.2,-0.1,99875,0.0,0.0,0.0
2011,9,7931.625,261.625,2.6,89,15.7,7.9,0.0,0.0,0.0,0.0,0.0,-10.2,-3854.5,23.7,2.723,0.0,0.0,217,0.0,668.5455645,46.1,41.8,42.5,0.0,54.1,16,0.0,0.0,0.0,0.0,11.2,0.0,0.0,379.1,-0.2,99861,0.0,0.0,0.0
2011,9,7931.6667,261.6667,2.5,94,15.4,8.5,0.0,0.0,0.0,0.0,0.0,-5.4,-2852.5,-0.1,1.219,0.0,0.0,116,0.0,403.6343846,50.4,46.4,46.9,0.0,57.9,15,0.0,0.0,0.0,0.0,11,0.0,0.0,376.95,1.2,99852,0.0,0.0,0.0
2011,9,7931.7083,261.7083,2.6,83,14,8.9,0.0,0.0,0.0,0.0,0.0,-1.1,-2325.3,-35.5,0.6216,0.0,0.0,-5,0.0,73.74893259,58.8,56.3,54.4,0.0,63.2,12.3,0.0,0.0,0.0,0.0,10.6,0.0,0.0,378,1.2,99851,0.0,0.0,0.0
2011,9,7931.75,261.75,1.8,71,11.9,9,0.0,0.0,0.0,0.0,0.0,1.3,-478,-20.8,0.1417,0.0,0.0,-29,0.0,15.9824174,69.3,67.5,65.4,0.0,75.7,9.8,0.0,0.0,0.0,0.0,11.4,0.0,0.0,380.3,2.7,99853,0.0,0.0,0.0
