datetime,year,month,doy,hour,seq.day.90,seq.time.90,obs.nee,obs.fco2,fco2.corr,ustar,nee,resp.e,gee,c.flag1,c.flag2,obs.ta.27m,ta.27m.filled,ta1.flag1,ta1.flag2,ta1.flag3,ta1.flag4,ta.2.5m,ta.2.5m.filled,ta5.flag1,ta5.flag2,ta5.flag3,ta5.flag4,par.28m,par.28m.filled,p.flag1,p.flag2,p.flag3,p.flag4,par.tot.ue.m2.s,par.dfs.ue.m2.s
2011-09-19T00:00,2011,9,262,0,7932,7932,0.0,0.0,0.0,13.8,4.89,5.58,-0.69,1,1,0.0,6.5,0,0,0,0,0.0,0.0,0,0,0,0,14,14,0,0,0,0,0.0,0.0
2011-09-19T01:00,2011,9,262,1,7932,7932.0417,0.0,0.0,0.0,18.8,4.81,5.58,-0.77,1,1,0.0,6.3,0,0,0,0,0.0,0.0,0,0,0,0,15,16,0,0,0,0,0.0,0.0
2011-09-19T02:00,2011,9,262,2,7932,7932.0833,0.0,0.0,0.0,18.9,3.21,3.21,0,1,1,0.0,6.3,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0
2011-09-19T03:00,2011,9,262,3,7932,7932.125,0.0,0.0,0.0,19.7,4.87,5.59,-0.72,1,1,0.0,6.2,0,0,0,0,0.0,0.0,0,0,0,0,14,15,0,0,0,0,0.0,0.0
2011-09-19T04:00,2011,9,262,4,7932,7932.1667,-1.4,1.3,-0.52,27.9,-0.52,5.6,-6.12,0,1,0.0,5.8,0,0,0,0,0.0,0.0,0,0,0,0,15,15,0,0,0,0,0.0,0.0
2011-09-19T05:00,2011,9,262,5,7932,7932.2083,5.4,1.5,-0.07,22.3,-0.07,5.61,-5.68,0,1,0.0,5.6,0,0,0,0,0.0,0.0,0,0,0,0,40,42,0,0,0,0,0.0,0.0
2011-09-19T06:00,2011,9,262,6,7932,7932.25,-2.8,-0.9,-3.09,28.2,-3.09,5.54,-8.63,0,1,0.0,7.7,0,0,0,0,0.0,0.0,0,0,0,0,239,249,0,0,0,0,0.0,0.0
2011-09-19T07:00,2011,9,262,7,7932,7932.2917,-7.3,-5.2,-6.66,29.6,-6.66,5.43,-12.09,0,1,0.0,11.1,0,0,0,0,0.0,0.0,0,0,0,0,589,615,0,0,0,0,0.0,0.0
2011-09-19T08:00,2011,9,262,8,7932,7932.3333,-13.4,-11.9,-12.87,42.8,-12.87,5.39,-18.25,0,1,0.0,12.5,0,0,0,0,0.0,0.0,0,0,0,0,928,969,0,0,0,0,0.0,0.0
2011-09-19T09:00,2011,9,262,9,7932,7932.375,-21.2,-18.2,-18.68,44.3,-18.68,5.33,-24.01,0,1,0.0,14.2,0,0,0,0,0.0,0.0,0,0,0,0,1199,1252,0,0,0,0,0.0,0.0
