year,month,seq.from.1990.days,doy,wind.sp,wind.dir,eddy.t,eddy.q,o3.mlb,no.y,s.no.y,co,s.co,f.co2,f.mom,f.heat,f.h2o,f.o3,f.no.y,r.net,par.12.7,par.29,rh.27.9m,rh.22.6m,rh.15.4m,rh.7.6m,rh.2.5m,ta.27.9m,ta.22.6m,ta.15.4m,ta.7.6m,ta.2.5m,ts.srfm,ts.50m,ts.20m,co2,co2.stg,p.amb,ts.srf.adj,par.tot.ue.m2.s,par.dfs.ue.m2.s
2011,9,7929,259,1.4,310,7.1,8.8,0.0,0.0,0.0,0.0,0.0,0.0,-1723.2,-57.8,0.0,0.0,0.0,-26,0.0,15.66903667,91.6,93.8,88.8,0.0,96.4,5.5,0.0,0.0,0.0,0.0,12.9,0.0,0.0,392.7,0.0,98642,0.0,0.0,0.0
2011,9,7929.0417,259.0417,1.3,312,6.9,8.6,0.0,0.0,0.0,0.0,0.0,4,-703,-37.5,-0.04122,0.0,0.0,-27,0.0,15.87795716,91.6,94.3,89.3,0.0,96.7,5.2,0.0,0.0,0.0,0.0,13.4,0.0,0.0,392.65,0.0,98696,0.0,0.0,0.0
2011,9,7929.0833,259.0833,1.3,313,6.5,8.5,0.0,0.0,0.0,0.0,0.0,11.6,-1210.1,-68.1,-0.1033,0.0,0.0,-29,0.0,15.77349691,92.4,94.7,89,0.0,97,5,0.0,0.0,0.0,0.0,12.9,0.0,0.0,393.7,-0.7,98737,0.0,0.0,0.0
2011,9,7929.125,259.125,1.4,319,6.2,8.2,0.0,0.0,0.0,0.0,0.0,5.8,-1877.8,-68.9,-0.192,0.0,0.0,-29,0.0,15.87795716,91.1,94.7,88.2,0.0,96.9,4.7,0.0,0.0,0.0,0.0,12.5,0.0,0.0,393.35,-0.2,98806,0.0,0.0,0.0
2011,9,7929.1667,259.1667,1.7,320,5.9,8,0.0,0.0,0.0,0.0,0.0,3.4,-1314.6,-52,-0.1426,0.0,0.0,-27,0.0,15.87795716,90.6,94.3,87.3,0.0,97,4.5,0.0,0.0,0.0,0.0,12.9,0.0,0.0,393,0.6,98887,0.0,0.0,0.0
2011,9,7929.2083,259.2083,1.4,315,5.4,8,0.0,0.0,0.0,0.0,0.0,6.9,-1136.4,-43.3,-0.1319,0.0,0.0,-14,0.0,45.44020634,93.1,94.9,88.8,0.0,97.2,4.4,0.0,0.0,0.0,0.0,13.1,0.0,0.0,392,0.4,98971,0.0,0.0,0.0
2011,9,7929.25,259.25,2.5,321,5.8,7.9,0.0,0.0,0.0,0.0,0.0,-1.9,-4660.2,-29.3,0.323,0.0,0.0,58,0.0,298.5473787,90.9,94.4,87.9,0.0,97.2,6,0.0,0.0,0.0,0.0,12.7,0.0,0.0,393.45,-2.5,99050,0.0,0.0,0.0
2011,9,7929.2917,259.2917,3,327,7,7.9,0.0,0.0,0.0,0.0,0.0,-9.5,-5654.9,51.2,1.835,0.0,0.0,206,0.0,668.8589453,84,84.2,80.6,0.0,96.9,7.7,0.0,0.0,0.0,0.0,12.6,0.0,0.0,388.75,-1.6,99107,0.0,0.0,0.0
2011,9,7929.3333,259.3333,2.9,322,8.6,7.8,0.0,0.0,0.0,0.0,0.0,-9.9,-6987.2,109.4,3.051,0.0,0.0,381,0.0,1016.293718,75.3,72.9,73.2,0.0,96,9.6,0.0,0.0,0.0,0.0,13.2,0.0,0.0,384.8,-0.3,99191,0.0,0.0,0.0
2011,9,7929.375,259.375,3,312,10.2,7.3,0.0,0.0,0.0,0.0,0.0,-20,-10198.5,252.7,5.927,0.0,0.0,512,0.0,1310.976068,62.6,59.7,60.3,0.0,88.7,11.2,0.0,0.0,0.0,0.0,12.7,0.0,0.0,382.65,-1.2,99256,0.0,0.0,0.0
2011,9,7929.4167,259.4167,3.4,324,11.2,6.9,0.0,0.0,0.0,0.0,0.0,0.0,-7843.1,249.5,0.0,0.0,0.0,572,0.0,1454.817825,54.1,51.1,50,0.0,70.8,12.5,0.0,0.0,0.0,0.0,12.1,0.0,0.0,380.025,0.4,99259,0.0,0.0,0.0
2011,9,7929.4583,259.4583,2.8,302,12.1,6.2,0.0,0.0,0.0,0.0,0.0,0.0,-7832,264.1,0.0,0.0,0.0,620,0.0,1575.782788,45,42.2,41.5,0.0,61.3,13.5,0.0,0.0,0.0,0.0,11.9,0.0,0.0,381,-2,99291,0.0,0.0,0.0
2011,9,7929.5,259.5,2.5,318,12.8,6.6,0.0,0.0,0.0,0.0,0.0,-12.9,-6260.8,243,6.014,0.0,0.0,604,0.0,1539.117242,46,42.9,43.2,0.0,61.2,13.8,0.0,0.0,0.0,0.0,11.6,0.0,0.0,379.4,2.9,99303,0.0,0.0,0.0
2011,9,7929.5417,259.5417,2.6,309,13.2,6.2,0.0,0.0,0.0,0.0,0.0,-16.6,-6767.9,190.7,4.972,0.0,0.0,520,0.0,1360.072383,42,38.4,39,0.0,59,14.3,0.0,0.0,0.0,0.0,12,0.0,0.0,380,-1.8,99308,0.0,0.0,0.0
2011,9,7929.5833,259.5833,2.6,305,13.7,6.2,0.0,0.0,0.0,0.0,0.0,-11.9,-5741.3,130.1,5.053,0.0,0.0,408,0.0,1117.515695,40.6,36.9,38.4,0.0,62.2,15,0.0,0.0,0.0,0.0,12.1,0.0,0.0,379.5,0.9,99275,0.0,0.0,0.0
