datetime,year,month,doy,hour,seq.day.90,seq.time.90,obs.nee,obs.fco2,fco2.corr,ustar,nee,resp.e,gee,c.flag1,c.flag2,obs.ta.27m,ta.27m.filled,ta1.flag1,ta1.flag2,ta1.flag3,ta1.flag4,ta.2.5m,ta.2.5m.filled,ta5.flag1,ta5.flag2,ta5.flag3,ta5.flag4,par.28m,par.28m.filled,p.flag1,p.flag2,p.flag3,p.flag4,par.tot.ue.m2.s,par.dfs.ue.m2.s
2011-09-16T00:00,2011,9,259,0,7929,7929,0.0,0.0,0.0,41.5,4.85,5.61,-0.76,1,1,0.0,5.5,0,0,0,0,0.0,0.0,0,0,0,0,15,16,0,0,0,0,0.0,0.0
2011-09-16T01:00,2011,9,259,1,7929,7929.0417,0.0,4,4.5,26.5,4.5,5.62,-1.12,0,1,0.0,5.2,0,0,0,0,0.0,0.0,0,0,0,0,15,16,0,0,0,0,0.0,0.0
2011-09-16T02:00,2011,9,259,2,7929,7929.0833,10.9,11.6,11.71,34.8,11.71,11.71,0,0,1,0.0,5,0,0,0,0,0.0,0.0,0,0,0,0,15,16,0,0,0,0,0.0,0.0
2011-09-16T03:00,2011,9,259,3,7929,7929.125,5.6,5.8,5.28,43.3,5.28,5.64,-0.35,0,1,0.0,4.7,0,0,0,0,0.0,0.0,0,0,0,0,15,16,0,0,0,0,0.0,0.0
2011-09-16T04:00,2011,9,259,4,7929,7929.1667,4,3.4,1.38,36.3,1.38,5.64,-4.27,0,1,0.0,4.5,0,0,0,0,0.0,0.0,0,0,0,0,15,16,0,0,0,0,0.0,0.0
2011-09-16T05:00,2011,9,259,5,7929,7929.2083,7.3,6.9,5.27,33.7,5.27,5.65,-0.38,0,1,0.0,4.4,0,0,0,0,0.0,0.0,0,0,0,0,44,45,0,0,0,0,0.0,0.0
2011-09-16T06:00,2011,9,259,6,7929,7929.25,-4.4,-1.9,-4.11,68.3,-4.11,5.6,-9.7,0,1,0.0,6,0,0,0,0,0.0,0.0,0,0,0,0,286,299,0,0,0,0,0.0,0.0
2011-09-16T07:00,2011,9,259,7,7929,7929.2917,-11.1,-9.5,-10.91,75.2,-10.91,5.54,-16.45,0,1,0.0,7.7,0,0,0,0,0.0,0.0,0,0,0,0,640,669,0,0,0,0,0.0,0.0
2011-09-16T08:00,2011,9,259,8,7929,7929.3333,-10.2,-9.9,-10.88,83.6,-10.88,5.48,-16.36,0,1,0.0,9.6,0,0,0,0,0.0,0.0,0,0,0,0,973,1016,0,0,0,0,0.0,0.0
2011-09-16T09:00,2011,9,259,9,7929,7929.375,-21.2,-20,-20.53,101,-20.53,5.43,-25.95,0,1,0.0,11.2,0,0,0,0,0.0,0.0,0,0,0,0,1255,1311,0,0,0,0,0.0,0.0
2011-09-16T10:00,2011,9,259,10,7929,7929.4167,0.0,0.0,0.0,88.6,-20.92,5.39,-26.3,1,1,0.0,12.5,0,0,0,0,0.0,0.0,0,0,0,0,1393,1455,0,0,0,0,0.0,0.0
2011-09-16T11:00,2011,9,259,11,7929,7929.4583,0.0,0.0,0.0,88.5,-21.71,5.36,-27.06,1,1,0.0,13.5,0,0,0,0,0.0,0.0,0,0,0,0,1508,1576,0,0,0,0,0.0,0.0
2011-09-16T12:00,2011,9,259,12,7929,7929.5,-10,-12.9,-12.15,79.1,-12.15,5.34,-17.49,0,1,0.0,13.8,0,0,0,0,0.0,0.0,0,0,0,0,1473,1539,0,0,0,0,0.0,0.0
2011-09-16T13:00,2011,9,259,13,7929,7929.5417,-18.4,-16.6,-17.56,82.3,-17.56,5.33,-22.89,0,1,0.0,14.3,0,0,0,0,0.0,0.0,0,0,0,0,1302,1360,0,0,0,0,0.0,0.0
2011-09-16T14:00,2011,9,259,14,7929,7929.5833,-11.1,-11.9,-9.72,75.8,-9.72,5.31,-15.03,0,1,0.0,15,0,0,0,0,0.0,0.0,0,0,0,0,1070,1118,0,0,0,0,0.0,0.0
2011-09-16T15:00,2011,9,259,15,7929,7929.625,-12,-11.9,-10.14,61.3,-10.14,5.31,-15.45,0,1,0.0,14.9,0,0,0,0,0.0,0.0,0,0,0,0,758,792,0,0,0,0,0.0,0.0
2011-09-16T16:00,2011,9,259,16,7929,7929.6667,-6.2,-7.8,-6.05,57.7,-6.05,5.35,-11.4,0,1,0.0,13.6,0,0,0,0,0.0,0.0,0,0,0,0,375,391,0,0,0,0,0.0,0.0
2011-09-16T17:00,2011,9,259,17,7929,7929.7083,0.3,-0.3,0.39,27.5,0.39,5.45,-5.07,0,1,0.0,10.4,0,0,0,0,0.0,0.0,0,0,0,0,97,101,0,0,0,0,0.0,0.0
2011-09-16T18:00,2011,9,259,18,7929,7929.75,0.0,0.0,0.0,11,4.77,5.54,-0.76,1,1,0.0,7.8,0,0,0,0,0.0,0.0,0,0,0,0,15,16,0,0,0,0,0.0,0.0
2011-09-16T19:00,2011,9,259,19,7929,7929.7917,0.0,0.0,0.0,4.3,4.81,5.58,-0.77,1,1,0.0,6.4,0,0,0,0,0.0,0.0,0,0,0,0,15,16,0,0,0,0,0.0,0.0
2011-09-16T20:00,2011,9,259,20,7929,7929.8333,2.8,2.7,2.49,22.5,2.49,2.49,0,0,1,0.0,6.9,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0
2011-09-16T21:00,2011,9,259,21,7929,7929.875,0.0,0.0,0.0,17.3,4.83,5.58,-0.75,1,1,0.0,6.4,0,0,0,0,0.0,0.0,0,0,0,0,15,16,0,0,0,0,0.0,0.0
2011-09-16T22:00,2011,9,259,22,7929,7929.9167,0.0,0.0,0.0,7.4,4.86,5.61,-0.76,1,1,0.0,5.4,0,0,0,0,0.0,0.0,0,0,0,0,15,16,0,0,0,0,0.0,0.0
2011-09-16T23:00,2011,9,259,23,7929,7929.9583,0.0,0.0,0.0,11.6,3.1,3.1,0,1,1,0.0,4.7,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0
