datetime,year,month,doy,hour,seq.day.90,seq.time.90,obs.nee,obs.fco2,fco2.corr,ustar,nee,resp.e,gee,c.flag1,c.flag2,obs.ta.27m,ta.27m.filled,ta1.flag1,ta1.flag2,ta1.flag3,ta1.flag4,ta.2.5m,ta.2.5m.filled,ta5.flag1,ta5.flag2,ta5.flag3,ta5.flag4,par.28m,par.28m.filled,p.flag1,p.flag2,p.flag3,p.flag4,par.tot.ue.m2.s,par.dfs.ue.m2.s
2011-09-18T00:00,2011,9,261,0,7931,7931,0.0,0.0,0.0,0.0,4.77,5.51,-0.74,1,1,0.0,8.7,0,0,0,0,0.0,0.0,0,0,0,0,15,15,0,0,0,0,0.0,0.0
2011-09-18T01:00,2011,9,261,1,7931,7931.0417,0.0,0.0,0.0,0.0,4.82,5.53,-0.71,1,1,0.0,8,0,0,0,0,0.0,0.0,0,0,0,0,14,15,0,0,0,0,0.0,0.0
2011-09-18T02:00,2011,9,261,2,7931,7931.0833,0.0,0.0,0.0,0.0,4.76,5.53,-0.77,1,1,0.0,8,0,0,0,0,0.0,0.0,0,0,0,0,15,16,0,0,0,0,0.0,0.0
2011-09-18T03:00,2011,9,261,3,7931,7931.125,0.0,0.0,0.0,10.8,4.78,5.53,-0.76,1,1,0.0,7.8,0,0,0,0,0.0,0.0,0,0,0,0,15,16,0,0,0,0,0.0,0.0
2011-09-18T04:00,2011,9,261,4,7931,7931.1667,-0.3,5.3,3.39,24,3.39,5.54,-2.15,0,1,0.0,7.5,0,0,0,0,0.0,0.0,0,0,0,0,14,15,0,0,0,0,0.0,0.0
2011-09-18T05:00,2011,9,261,5,7931,7931.2083,1.8,1.7,0.13,20.4,0.13,5.54,-5.42,0,1,0.0,7.5,0,0,0,0,0.0,0.0,0,0,0,0,19,19,0,0,0,0,0.0,0.0
2011-09-18T06:00,2011,9,261,6,7931,7931.25,0.0,0.0,0.0,17.2,1.6,5.52,-3.93,1,1,0.0,8.2,0,0,0,0,0.0,0.0,0,0,0,0,84,88,0,0,0,0,0.0,0.0
2011-09-18T07:00,2011,9,261,7,7931,7931.2917,-5.4,-5,-6.5,32.7,-6.5,5.41,-11.91,0,1,0.0,11.6,0,0,0,0,0.0,0.0,0,0,0,0,397,415,0,0,0,0,0.0,0.0
2011-09-18T08:00,2011,9,261,8,7931,7931.3333,-16.7,-13.1,-14.05,60.7,-14.05,5.36,-19.41,0,1,0.0,13.3,0,0,0,0,0.0,0.0,0,0,0,0,909,949,0,0,0,0,0.0,0.0
2011-09-18T09:00,2011,9,261,9,7931,7931.375,-18.6,-16.2,-16.67,70.6,-16.67,5.33,-22,0,1,0.0,14.4,0,0,0,0,0.0,0.0,0,0,0,0,1214,1268,0,0,0,0,0.0,0.0
2011-09-18T10:00,2011,9,261,10,7931,7931.4167,0.0,0.0,0.0,84.2,-20.1,5.31,-25.42,1,1,0.0,14.9,0,0,0,0,0.0,0.0,0,0,0,0,1272,1329,0,0,0,0,0.0,0.0
2011-09-18T11:00,2011,9,261,11,7931,7931.4583,0.0,0.0,0.0,76.5,-21.58,5.29,-26.87,1,1,0.0,15.6,0,0,0,0,0.0,0.0,0,0,0,0,1478,1544,0,0,0,0,0.0,0.0
2011-09-18T12:00,2011,9,261,12,7931,7931.5,-18.5,-19.1,-18.37,75.3,-18.37,5.28,-23.65,0,1,0.0,15.8,0,0,0,0,0.0,0.0,0,0,0,0,1302,1360,0,0,0,0,0.0,0.0
2011-09-18T13:00,2011,9,261,13,7931,7931.5417,-17.8,-16.9,-17.8,71,-17.8,5.28,-23.08,0,1,0.0,16,0,0,0,0,0.0,0.0,0,0,0,0,989,1033,0,0,0,0,0.0,0.0
2011-09-18T14:00,2011,9,261,14,7931,7931.5833,-16.3,-16.2,-14.1,66.4,-14.1,5.27,-19.38,0,1,0.0,16.1,0,0,0,0,0.0,0.0,0,0,0,0,906,946,0,0,0,0,0.0,0.0
2011-09-18T15:00,2011,9,261,15,7931,7931.625,-10.4,-10.2,-8.43,62.1,-8.43,5.28,-13.71,0,1,0.0,16,0,0,0,0,0.0,0.0,0,0,0,0,640,669,0,0,0,0,0.0,0.0
2011-09-18T16:00,2011,9,261,16,7931,7931.6667,-4.2,-5.4,-3.72,53.4,-3.72,5.31,-9.03,0,1,0.0,15,0,0,0,0,0.0,0.0,0,0,0,0,386,404,0,0,0,0,0.0,0.0
2011-09-18T17:00,2011,9,261,17,7931,7931.7083,0.1,-1.1,-0.44,48.2,-0.44,5.39,-5.84,0,1,0.0,12.3,0,0,0,0,0.0,0.0,0,0,0,0,71,74,0,0,0,0,0.0,0.0
2011-09-18T18:00,2011,9,261,18,7931,7931.75,4,1.3,2.35,21.9,2.35,5.47,-3.13,0,1,0.0,9.8,0,0,0,0,0.0,0.0,0,0,0,0,15,16,0,0,0,0,0.0,0.0
2011-09-18T19:00,2011,9,261,19,7931,7931.7917,0.0,0.0,0.0,15.1,3.37,3.37,0,1,1,0.0,8.4,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0
2011-09-18T20:00,2011,9,261,20,7931,7931.8333,0.0,0.0,0.0,14.1,4.78,5.54,-0.76,1,1,0.0,7.8,0,0,0,0,0.0,0.0,0,0,0,0,15,16,0,0,0,0,0.0,0.0
2011-09-18T21:00,2011,9,261,21,7931,7931.875,0.0,0.0,0.0,10.7,4.83,5.56,-0.74,1,1,0.0,6.9,0,0,0,0,0.0,0.0,0,0,0,0,15,15,0,0,0,0,0.0,0.0
2011-09-18T22:00,2011,9,261,22,7931,7931.9167,0.0,0.0,0.0,16.6,4.82,5.57,-0.76,1,1,0.0,6.6,0,0,0,0,0.0,0.0,0,0,0,0,15,16,0,0,0,0,0.0,0.0
2011-09-18T23:00,2011,9,261,23,7931,7931.9583,0.0,0.0,0.0,12.4,4.82,5.57,-0.76,1,1,0.0,6.6,0,0,0,0,0.0,0.0,0,0,0,0,15,16,0,0,0,0,0.0,0.0
