AOCTimewave, AmbTemp, DewPtTemp, DewPtTempTDL, H2Omr, PotTemp, RelHumidity, StaticPrs, VertWindSpd, WindDir, WindSpd
59450,24.643,20.508,-23.83,15.88,300.58,77.21,967.92,0.4,268.16,1.68
59451,24.667,20.43,-23.829,15.81,300.64,76.72,967.5,0.56,252.21,2.09
59452,24.591,20.38,-23.829,15.77,300.61,76.84,967,0.86,250.81,1.78
59453,24.542,20.312,-23.829,15.71,300.6,76.73,966.56,0.83,252.72,2.35
59454,24.508,20.353,-23.83,15.76,300.61,77.1,966,0.94,245.8,2.66
59455,24.429,20.281,-23.831,15.7,300.59,77.12,965.33,0.99,244.66,2.32
59456,24.408,20.267,-23.829,15.69,300.61,77.15,964.86,1.15,256.11,2.43
59457,24.341,20.246,-23.829,15.68,300.57,77.37,964.61,1.34,240.55,2.31
59458,24.295,20.25,-23.828,15.68,300.54,77.61,964.45,1.37,247.39,2.67
59459,24.296,20.227,-23.828,15.67,300.57,77.49,964.06,1.3,250.53,2.74
59460,24.295,20.222,-23.828,15.67,300.61,77.47,963.67,1.3,252.67,2.78
59461,24.092,20.221,-23.829,15.68,300.47,78.45,962.92,1.47,227.36,2.05
59462,23.999,20.265,-23.829,15.74,300.44,79.12,962.14,1.42,234.48,2.1
59463,23.869,20.292,-23.829,15.78,300.38,79.89,961.39,2.3,266.73,2.09
59464,23.742,20.341,-23.828,15.85,300.35,80.78,960.23,1.56,257.03,2.31
59465,23.625,20.465,-23.827,15.98,300.31,82.01,959.34,1.21,263.22,2.33
59466,23.578,20.515,-23.827,16.05,300.33,82.52,958.61,0.91,273.42,2.87
59467,23.532,20.538,-23.827,16.08,300.32,82.87,958.26,0.96,295.44,2.79
59468,23.414,20.583,-23.828,16.13,300.23,83.72,957.93,1.11,288.22,1.74
59469,23.287,20.608,-23.829,16.16,300.14,84.51,957.43,0.94,261.52,1.01
59470,23.338,20.633,-23.829,16.2,300.26,84.39,956.62,0.76,261.5,1.37
59471,23.198,20.634,-23.829,16.22,300.18,85.13,955.94,1.31,289.32,1.32
59472,23.05,20.657,-23.829,16.25,300.1,86.04,955.2,0.96,263.84,1.04
59473,23.053,20.78,-23.83,16.39,300.15,86.69,954.69,1.21,252.05,1.97
59474,23.056,20.806,-23.83,16.42,300.16,86.82,954.63,1.38,236.36,2.68
59475,23.089,20.856,-23.83,16.47,300.18,86.92,954.77,1.4,244.74,2.36
59476,23.094,20.862,-23.829,16.48,300.2,86.92,954.57,1.58,253.48,2.16
59477,23.028,20.9,-23.831,16.53,300.19,87.49,953.99,1.1,260.65,2.27
59478,22.967,20.871,-23.832,16.5,300.16,87.66,953.58,0.67,252.01,1.78
59479,23.047,20.849,-23.832,16.48,300.25,87.11,953.46,0.52,259.85,2.34
59480,23.036,20.826,-23.83,16.46,300.25,87.04,953.38,0.94,252.74,2.42
59481,23.1,20.677,-23.83,16.31,300.34,85.88,953.13,0.86,254.16,2.54
59482,23.194,20.629,-23.829,16.26,300.42,85.12,953.21,0.76,257.44,2.91
59483,23.207,20.559,-23.829,16.19,300.46,84.68,952.95,0.68,250.7,2.99
59484,23.262,20.534,-23.829,16.17,300.56,84.25,952.47,0.24,255.02,3.75
59485,23.266,20.476,-23.829,16.12,300.58,83.92,952.35,0.12,259.12,3.45
59486,23.167,20.333,-23.829,15.98,300.5,83.68,952.04,-0.06,242.23,3.57
59487,23.124,20.288,-23.829,15.93,300.46,83.66,952.06,0.15,261.15,2.66
59488,23.16,20.242,-23.829,15.89,300.52,83.23,951.79,0.28,262.82,2.6
59489,23.207,20.091,-23.828,15.74,300.59,82.2,951.51,0.15,264.56,2.62
59490,23.179,20.017,-23.827,15.67,300.59,81.95,951.15,0.68,271.65,2.64
59491,23.228,19.871,-23.828,15.54,300.7,80.95,950.58,0.46,272.85,2.82
59492,23.233,19.839,-23.829,15.51,300.73,80.76,950.21,0.94,283.28,2.09
59493,23.14,19.791,-23.829,15.47,300.69,80.98,949.7,0.74,262.47,2.7
59494,23.243,19.617,-23.829,15.31,300.83,79.58,949.23,1.25,263.97,3.71
59495,23.278,19.517,-23.83,15.22,300.92,78.9,948.67,1,265.95,4.01
59496,23.244,19.35,-23.83,15.07,300.93,78.23,948.13,0.82,269.33,4.19
59497,23.168,19.285,-23.83,15.02,300.9,78.27,947.62,0.78,264.92,4.24
59498,23.042,19.135,-23.83,14.88,300.8,78.14,947.37,1.12,256.34,4.75
59499,23.037,19.082,-23.83,14.84,300.84,77.9,946.88,0.32,262.41,4.94
59500,22.967,19.011,-23.829,14.77,300.77,77.89,946.86,0.13,258.66,4.59
59501,22.815,18.94,-23.829,14.71,300.66,78.27,946.29,-0.1,255.29,4.16
59502,22.69,18.913,-23.83,14.69,300.57,78.75,945.98,0.28,259.86,3.71
59503,22.57,18.91,-23.831,14.7,300.49,79.33,945.52,0.51,258.06,3.51
59504,22.511,18.958,-23.831,14.75,300.45,79.87,945.2,0.83,253.44,3.72
59505,22.515,19.033,-23.831,14.83,300.52,80.23,944.49,0.46,260,3.89
59506,22.516,19.035,-23.831,14.84,300.57,80.24,943.96,-0.05,265.54,3.99
59507,22.573,19.106,-23.83,14.91,300.67,80.31,943.53,0.08,263.78,4.43
59508,22.543,19.087,-23.83,14.9,300.67,80.37,943.17,0.72,258.51,4.26
59509,22.553,19.068,-23.83,14.9,300.76,80.22,942.35,0.42,263.12,4.66
59510,22.56,19.141,-23.829,14.97,300.81,80.55,941.86,0.26,262.77,4.76
59511,22.614,19.21,-23.829,15.05,300.9,80.64,941.45,0.37,267.07,4.3
59512,22.577,19.277,-23.829,15.12,300.9,81.17,941,0.21,256.59,3.9
59513,22.363,19.278,-23.828,15.13,300.74,82.28,940.34,0.51,232.58,3.17
59514,22.292,19.23,-23.829,15.09,300.72,82.39,939.82,2.48,260.22,2.81
59515,22.169,19.182,-23.829,15.06,300.67,82.77,938.98,2.74,274.85,3.64
59516,21.937,19.204,-23.83,15.1,300.53,84.11,937.96,1.36,263.16,3.3
59517,21.858,19.324,-23.831,15.23,300.53,85.17,937.1,1.54,258.64,4.27
59518,21.912,19.493,-23.831,15.41,300.64,85.8,936.4,0.21,264.15,5.21
59519,22.146,19.683,-23.831,15.6,300.94,85.58,935.81,0.43,266.06,5.5
59520,22.209,19.785,-23.831,15.71,301.04,85.8,935.4,0.96,267.91,5.68
59521,22.197,19.837,-23.83,15.78,301.09,86.15,934.71,1.22,269.18,5.09
59522,22.135,19.878,-23.832,15.83,301.1,86.71,933.88,0.81,266.11,5.46
59523,22.062,19.845,-23.832,15.81,301.08,86.93,933.3,0.96,265.29,5.61
59524,21.891,19.774,-23.832,15.75,300.96,87.47,932.75,0.37,263.52,5.58
59525,21.85,19.736,-23.831,15.71,300.94,87.49,932.52,0.28,263.97,5.94
59526,21.963,19.588,-23.832,15.58,301.11,86.05,931.87,0.27,269.32,5.84
59527,22.215,19.489,-23.831,15.49,301.41,84.17,931.37,0.12,268.16,5.93
59528,22.396,19.392,-23.831,15.4,301.65,82.7,930.78,0.06,276.78,6.31
59529,22.398,19.312,-23.833,15.33,301.7,82.26,930.32,-0.24,276.29,5.87
59530,22.464,19.24,-23.832,15.27,301.8,81.55,930,0.11,275.13,5.26
59531,22.391,19.044,-23.831,15.08,301.76,80.91,929.61,0.37,268.07,5.3
59532,22.273,18.748,-23.832,14.8,301.67,79.98,929.27,0.8,271.88,5.65
59533,21.866,18.332,-23.833,14.43,301.32,79.89,928.6,0.72,261.56,5.22
59534,21.65,17.869,-23.833,14.02,301.19,78.6,927.61,0.42,263.43,5.4
59535,21.619,17.434,-23.832,13.64,301.21,76.58,927.08,0,269.29,5.54
59536,22.003,17.126,-23.832,13.38,301.65,73.28,926.52,0.16,276.44,5.16
59537,22.111,16.931,-23.831,13.22,301.81,71.87,925.98,0.33,275.42,5.51
59538,22.105,16.775,-23.831,13.1,301.88,71.17,925.21,0.29,273.15,5.91
59539,22.088,16.65,-23.831,13,301.94,70.67,924.34,0.66,273.38,5.94
59540,22.074,16.507,-23.831,12.89,302,70.08,923.55,0.57,278.42,6.11
59541,21.943,16.382,-23.831,12.8,301.94,70.09,922.74,-0.02,275.28,5.81
59542,21.898,16.244,-23.828,12.7,301.98,69.66,921.87,0.08,278.65,5.31
59543,21.96,15.975,-23.828,12.49,302.09,68.18,921.29,0.24,286.63,5.11
59544,22,15.71,-23.828,12.28,302.21,66.84,920.45,0.12,293.99,5.3
59545,21.983,15.412,-23.829,12.06,302.28,65.62,919.58,0.45,290.68,5.67
59546,21.916,15.139,-23.83,11.86,302.29,64.73,918.73,0.78,287.86,5.71
59547,21.781,14.837,-23.83,11.63,302.23,64,917.92,0.51,285.56,5.74
59548,21.827,14.672,-23.831,11.52,302.34,63.13,917.2,0.38,296.14,5.56
59549,21.764,14.617,-23.83,11.49,302.36,63.15,916.29,0.45,294.68,5.32
59550,21.657,14.488,-23.831,11.4,302.33,63.04,915.47,0.8,291.49,5.14
59551,21.724,14.266,-23.832,11.25,302.48,61.86,914.61,0.87,289.34,5.45
59552,21.623,13.896,-23.833,10.98,302.46,60.75,913.78,0.54,286.14,5.44
59553,21.543,13.387,-23.831,10.63,302.45,59.04,913.01,0.65,289.21,5.29
59554,21.48,12.928,-23.83,10.32,302.44,57.49,912.37,0.36,293.44,5.25
59555,21.412,12.554,-23.831,10.07,302.46,56.31,911.52,0.73,294.44,5.04
59556,21.296,12.286,-23.831,9.9,302.41,55.72,910.72,0.89,288.73,5.58
