IEPOX-SOA	LO-OOA	MO-OOA	BBOA	ISOPOOH-SOA	T_series_start	T_series_end
					5-6-2013 07:56	5-6-2013 08:00
					5-6-2013 08:00	5-6-2013 08:04
					5-6-2013 08:04	5-6-2013 08:08
					5-6-2013 08:08	5-6-2013 08:12
					5-6-2013 08:12	5-6-2013 08:16
					5-6-2013 08:16	5-6-2013 08:20
					5-6-2013 08:20	5-6-2013 08:24
					5-6-2013 08:24	5-6-2013 08:28
					5-6-2013 08:28	5-6-2013 08:32
					5-6-2013 08:32	5-6-2013 08:36
					5-6-2013 08:36	5-6-2013 08:40
					5-6-2013 08:40	5-6-2013 08:44
					5-6-2013 08:44	5-6-2013 08:48
					5-6-2013 08:48	5-6-2013 08:52
					5-6-2013 08:52	5-6-2013 08:56
					5-6-2013 08:56	5-6-2013 09:00
					5-6-2013 09:00	5-6-2013 09:04
					5-6-2013 09:04	5-6-2013 09:08
					5-6-2013 09:08	5-6-2013 09:12
					5-6-2013 09:12	5-6-2013 09:16
					5-6-2013 09:16	5-6-2013 09:20
					5-6-2013 09:20	5-6-2013 09:24
					5-6-2013 09:24	5-6-2013 09:28
					5-6-2013 09:28	5-6-2013 09:32
					5-6-2013 09:32	5-6-2013 09:36
					5-6-2013 09:36	5-6-2013 09:40
					5-6-2013 09:40	5-6-2013 09:44
					5-6-2013 09:44	5-6-2013 09:48
					5-6-2013 09:48	5-6-2013 09:52
					5-6-2013 09:52	5-6-2013 09:56
					5-6-2013 09:56	5-6-2013 10:00
0.0564414	0.260192	0.347336	0.0135188		5-6-2013 10:00	5-6-2013 10:04
0.0642432	0.253846	0.289155	0		5-6-2013 10:04	5-6-2013 10:08
					5-6-2013 10:08	5-6-2013 10:12
0.058018	0.212977	0.2383	0.0081375		5-6-2013 10:12	5-6-2013 10:16
0.0532342	0.197115	0.206645	0.010775		5-6-2013 10:16	5-6-2013 10:20
0.0714505	0.256492	0.310255	0		5-6-2013 10:20	5-6-2013 10:24
					5-6-2013 10:24	5-6-2013 10:28
					5-6-2013 10:28	5-6-2013 10:32
					5-6-2013 10:32	5-6-2013 10:36
					5-6-2013 10:36	5-6-2013 10:40
					5-6-2013 10:40	5-6-2013 10:44
					5-6-2013 10:44	5-6-2013 10:48
					5-6-2013 10:48	5-6-2013 10:52
					5-6-2013 10:52	5-6-2013 10:56
					5-6-2013 10:56	5-6-2013 11:00
0.0856036	0.384223	0.224527	0.023825		5-6-2013 11:00	5-6-2013 11:04
0.100351	0.348738	0.358509	0		5-6-2013 11:04	5-6-2013 11:08
					5-6-2013 11:08	5-6-2013 11:12
0.0669099	0.360954	0.2603	0.0203375		5-6-2013 11:12	5-6-2013 11:16
0.0809189	0.335892	0.325091	0.0186375		5-6-2013 11:16	5-6-2013 11:20
0.099	0.368331	0.330345	0.0186437		5-6-2013 11:20	5-6-2013 11:24
					5-6-2013 11:24	5-6-2013 11:28
					5-6-2013 11:28	5-6-2013 11:32
					5-6-2013 11:32	5-6-2013 11:36
					5-6-2013 11:36	5-6-2013 11:40
					5-6-2013 11:40	5-6-2013 11:44
					5-6-2013 11:44	5-6-2013 11:48
					5-6-2013 11:48	5-6-2013 11:52
					5-6-2013 11:52	5-6-2013 11:56
					5-6-2013 11:56	5-6-2013 12:00
					5-6-2013 12:00	5-6-2013 12:04
					5-6-2013 12:04	5-6-2013 12:08
					5-6-2013 12:08	5-6-2013 12:12
					5-6-2013 12:12	5-6-2013 12:16
					5-6-2013 12:16	5-6-2013 12:20
					5-6-2013 12:20	5-6-2013 12:24
					5-6-2013 12:24	5-6-2013 12:28
					5-6-2013 12:28	5-6-2013 12:32
					5-6-2013 12:32	5-6-2013 12:36
					5-6-2013 12:36	5-6-2013 12:40
					5-6-2013 12:40	5-6-2013 12:44
					5-6-2013 12:44	5-6-2013 12:48
					5-6-2013 12:48	5-6-2013 12:52
					5-6-2013 12:52	5-6-2013 12:56
					5-6-2013 12:56	5-6-2013 13:00
0.0905676	0.440854	0.4233	0.0274687		5-6-2013 13:00	5-6-2013 13:04
0.0947928	0.401115	0.479945	0		5-6-2013 13:04	5-6-2013 13:08
					5-6-2013 13:08	5-6-2013 13:12
0.0752252	0.368231	0.505918	0.0184813		5-6-2013 13:12	5-6-2013 13:16
0.0866126	0.313946	0.540591	0.0211937		5-6-2013 13:16	5-6-2013 13:20
0.0941892	0.331023	0.514655	0		5-6-2013 13:20	5-6-2013 13:24
					5-6-2013 13:24	5-6-2013 13:28
					5-6-2013 13:28	5-6-2013 13:32
					5-6-2013 13:32	5-6-2013 13:36
					5-6-2013 13:36	5-6-2013 13:40
					5-6-2013 13:40	5-6-2013 13:44
					5-6-2013 13:44	5-6-2013 13:48
					5-6-2013 13:48	5-6-2013 13:52
					5-6-2013 13:52	5-6-2013 13:56
					5-6-2013 13:56	5-6-2013 14:00
0.0972793	0.409954	0.656518	0.0280812		5-6-2013 14:00	5-6-2013 14:04
0.109288	0.435615	0.608445	0.00361875		5-6-2013 14:04	5-6-2013 14:08
					5-6-2013 14:08	5-6-2013 14:12
0.0914324	0.3337	0.587891	0.0744625		5-6-2013 14:12	5-6-2013 14:16
0.0760811	0.457746	0.532473	0.0557		5-6-2013 14:16	5-6-2013 14:20
0.0952883	0.539838	0.536773	0.0272187		5-6-2013 14:20	5-6-2013 14:24
					5-6-2013 14:24	5-6-2013 14:28
					5-6-2013 14:28	5-6-2013 14:32
					5-6-2013 14:32	5-6-2013 14:36
					5-6-2013 14:36	5-6-2013 14:40
					5-6-2013 14:40	5-6-2013 14:44
					5-6-2013 14:44	5-6-2013 14:48
					5-6-2013 14:48	5-6-2013 14:52
					5-6-2013 14:52	5-6-2013 14:56
					5-6-2013 14:56	5-6-2013 15:00
0.142216	0.347869	0.815755	0.0361		5-6-2013 15:00	5-6-2013 15:04
0.154829	0.313923	0.866218	0		5-6-2013 15:04	5-6-2013 15:08
					5-6-2013 15:08	5-6-2013 15:12
0.113811	0.296962	0.849536	0.0434938		5-6-2013 15:12	5-6-2013 15:16
0.132622	0.318646	0.918291	0.0494875		5-6-2013 15:16	5-6-2013 15:20
0.125126	0.330592	0.9679	0		5-6-2013 15:20	5-6-2013 15:24
					5-6-2013 15:24	5-6-2013 15:28
					5-6-2013 15:28	5-6-2013 15:32
					5-6-2013 15:32	5-6-2013 15:36
					5-6-2013 15:36	5-6-2013 15:40
					5-6-2013 15:40	5-6-2013 15:44
					5-6-2013 15:44	5-6-2013 15:48
					5-6-2013 15:48	5-6-2013 15:52
					5-6-2013 15:52	5-6-2013 15:56
					5-6-2013 15:56	5-6-2013 16:00
0.117432	0.347885	0.973764	0.0479375		5-6-2013 16:00	5-6-2013 16:04
0.140991	0.290431	0.989227	0		5-6-2013 16:04	5-6-2013 16:08
					5-6-2013 16:08	5-6-2013 16:12
0.124946	0.380369	0.995273	0.0710625		5-6-2013 16:12	5-6-2013 16:16
0.122829	0.366569	0.983582	0.0796563		5-6-2013 16:16	5-6-2013 16:20
0.168171	0.334869	1.05619	0.0418937		5-6-2013 16:20	5-6-2013 16:24
					5-6-2013 16:24	5-6-2013 16:28
					5-6-2013 16:28	5-6-2013 16:32
					5-6-2013 16:32	5-6-2013 16:36
					5-6-2013 16:36	5-6-2013 16:40
					5-6-2013 16:40	5-6-2013 16:44
					5-6-2013 16:44	5-6-2013 16:48
					5-6-2013 16:48	5-6-2013 16:52
					5-6-2013 16:52	5-6-2013 16:56
					5-6-2013 16:56	5-6-2013 17:00
0.128198	0.423477	0.857309	0.0466875		5-6-2013 17:00	5-6-2013 17:04
0.156261	0.433146	0.881664	0.0151313		5-6-2013 17:04	5-6-2013 17:08
					5-6-2013 17:08	5-6-2013 17:12
0.132568	0.407323	0.819136	0.0550875		5-6-2013 17:12	5-6-2013 17:16
0.124171	0.4621	0.822491	0.00985625		5-6-2013 17:16	5-6-2013 17:20
0.128721	0.452669	0.887809	0		5-6-2013 17:20	5-6-2013 17:24
					5-6-2013 17:24	5-6-2013 17:28
					5-6-2013 17:28	5-6-2013 17:32
					5-6-2013 17:32	5-6-2013 17:36
					5-6-2013 17:36	5-6-2013 17:40
					5-6-2013 17:40	5-6-2013 17:44
					5-6-2013 17:44	5-6-2013 17:48
					5-6-2013 17:48	5-6-2013 17:52
					5-6-2013 17:52	5-6-2013 17:56
					5-6-2013 17:56	5-6-2013 18:00
0.114117	0.369077	0.835564	0.0202562		5-6-2013 18:00	5-6-2013 18:04
